"Tanggal","Investasi","Partner","Arah","Kategori","Principal","Profit","Total","Metode Bayar","Akun","Catatan"
"2026-04-11","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","15230000","15230000","Transfer","BCA - RIZKY",""
"2026-03-10","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","10000000","10000000","Transfer","BCA - RIZKY","+ 500rb (udunan THR asana)"
"2026-02-11","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","16000000","16000000","Transfer","BCA - RIZKY",""
"2026-01-11","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","11627743","11627743","Transfer Bank","BCA",""
"2026-01-11","CBU TANGERANG","CBU Tangerang","IN","IN_CAPITAL_RETURN_PLUS_PROFIT","52913000","5287000","58200000","Transfer","BCA - RIZKY",""
"2026-01-10","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","15000000","15000000","Transfer","BCA - RIZKY",""
"2026-01-06","ELYASR","ANNISA","OUT","OUT_BUSINESS_CAPITAL","52150000","0","52150000","Transfer","BCA - RIZKY",""
"2026-01-01","KMP (Cimol Bojot)","HIS","OUT","OUT_BUSINESS_CAPITAL","251000000","0","251000000","Transfer","BCA - RIZKY",""
"2026-01-01","ELYASR","ANNISA","OUT","OUT_TOPUP_CAPITAL","9000000","0","9000000","Transfer","BCA - RIZKY","GAJIAN"
"2025-12-10","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","15000000","15000000","Transfer","BCA - RIZKY",""
"2025-12-01","ELYASR","ANNISA","OUT","OUT_TOPUP_CAPITAL","9000000","0","9000000","Transfer","BCA - RIZKY",""
"2025-11-25","Synergy Manufacture","Iyan & Nurdin","OUT","OUT_TOPUP_CAPITAL","20000000","0","20000000","Transfer","BCA - RIZKY","2x Tf (15jt dan 5jt)"
"2025-11-10","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","15000000","15000000","Transfer","BCA - RIZKY",""
"2025-10-18","Synergy Manufacture","Iyan & Nurdin","OUT","OUT_BUSINESS_CAPITAL","25000000","0","25000000","Transfer","BCA - RIZKY","Beli Mesin Lubang + Kancing"
"2025-10-10","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","15000000","15000000","Transfer","BCA",""
"2025-10-10","CBU TANGERANG","CBU Tangerang","OUT","OUT_BUSINESS_CAPITAL","52913000","0","52913000","Transfer","BCA - RIZKY",""
"2025-10-04","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","5287000","5287000","Transfer","BCA - RIZKY",""
"2025-10-01","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","5294631","5294631","Transfer","BCA",""
"2025-09-01","ELYASR","ANNISA","OUT","OUT_BUSINESS_CAPITAL","9000000","0","9000000","Transfer","BCA",""
"2025-08-27","FAUZAN MANUFACTURE","FAUZAN","OUT","OUT_BUSINESS_CAPITAL","5000000","0","5000000","Transfer Bank","BCA Fauzan",""
"2025-06-16","KMP (Cimol Bojot)","HIS","IN","IN_DIVIDEND","0","3000000","3000000","Transfer Bank","BCA",""
